item_id1,item_id2,result
51000622-02,43067759-01,1
57030776-99,57092893-PL,0
53060518-02,53030594-08,1
47005947-99,57001104-12,0
43077762-01,43063724-OR,1
53020588-99,53090733-99,0
53060518-02,51000622-06,1
53033759-99,57020408-43,0
41041002-02,53060511-08,1
57057885-01,57040297-99,0
43075794-OR,43005802-OR,1
57016021-PL,57052886-99,0
51000622-70,41078827-70,1
53040712-OR,57083816-05,0
43085020-99,43073737-OR,1
57094779-TM,57041000-PL,0
43063738-46,43025786-OR,1
57075781-99,51040615-99,0
43075794-OR,43005802-OR,1
57020012-01,53013773-99,0
43073737-OR,43063738-46,1
57050294-PL,53060592-12,0
43025786-OR,51000622-85,1
51063787-01,57065921-30,0
43031107-01,53050576-01,1
57005144-37,57000180-84,0
43015013-08,53070861-11,1
57040274-PL,51030736-70,0
53060518-02,43005802-OR,1
57004052-PL,41079066-05,0
43073737-OR,43025786-OR,1
57045805-TA,57026727-99,0
51000622-99,53080880-37,1
53053793-OR,53065769-99,0
43035019-08,43065750-99,1
57034381-33,57086003-PL,0
43030693-OR,43047758-05,1
57006014-PL,53090586-02,0
51000636-85,41069066-05,1
53093787-OR,53030636-07,0
53050616-01,53020607-07,1
53030594-08,57076028-92,0
53103803-OR,53050829-OR,1
53070968-79,53060568-99,0
53020607-07,51000636-99,1
57043797-99,57067747-PL,0
53000588-TC,53030636-07,1
53000625-99,57092883-07,0
43003754-OR,53091158-OR,1
53093739-99,53093026-30,0
53060518-02,43063738-46,1
57094039-PL,47076709-99,0
43025786-OR,43063738-OR,1
53045770-99,57040070-OR,0
51000637-02,43058831-01,1
53070542-85,57015814-43,0
53050548-99,43097754-99,1
57047742-PL,57000418-46,0
43077762-01,51000637-06,1
53033778-50,57010034-08,0
43028820-08,53090511-CU,1
53030691-OR,57021035-CU,0
53090511-CU,51000637-37,1
47032882-PL,53033778-50,0
41075826-37,53070592-08,1
53030691-OR,57047761-99,0
51000637-87,53040521-07,1
57092512-32,53050576-01,0
43095018-28,53030715-OR,1
57088272-05,53070688-02,0
53040578-01,53070592-08,1
53073709-72,53050576-01,0
53030715-OR,51000637-99,1
53033786-99,43025787-OR,0
53060511-08,53040578-01,1
57075781-99,53031097-OR,0
51000638-99,53050803-OR,1
53033768-OR,57063803-02,0
53070830-OR,53080828-OR,1
