color1,fabric1,category1,image1,color2,fabric2,category2,image2,result
1,4,4,2019_53080809_OR.jpg,10,1,6,2019_53013046_99.jpg,1
10,4,3,2019_53065769_99.jpg,1,4,4,2019_57005933_OR.jpg,1
10,4,3,2019_53043747_99.jpg,6,1,5,2023_57023796_65.jpg,0
1,4,3,2019_53040578_01.jpg,10,4,7,2023_57086313_95.jpg,0
10,4,7,2019_53050548_99.jpg,1,4,4,2019_53030691_OR.jpg,1
9,4,7,2019_53003753_CU.jpg,1,7,2,2019_53030547_05.jpg,0
8,7,2,2019_53025026_52.jpg,10,4,3,2023_57022511_PL.jpg,0
10,1,6,2019_57048263_99.jpg,1,4,4,2019_53080828_OR.jpg,0
1,4,4,2023_57002536_OR.jpg,10,1,2,2023_57092882_99.jpg,0
1,4,3,2023_57035148_01.jpg,8,7,5,2023_57040291_TM.jpg,0
10,5,1,2019_53013741_99.jpg,10,4,3,2019_53043747_99.jpg,1
1,4,4,2019_53070830_OR.jpg,1,4,4,2019_53080828_OR.jpg,1
1,4,4,2019_53193794_OR.jpg,10,4,3,2023_57093809_99.jpg,0
8,7,2,2023_57004402_TO.jpg,1,3,1,2023_57055810_05.jpg,1
1,5,1,2019_53025032_05.jpg,10,4,3,2019_53043747_99.jpg,1
1,4,4,2023_57030411_OR.jpg,7,5,6,2023_57000405_43.jpg,1
1,4,4,2019_53091158_OR.jpg,1,4,4,2019_57005933_OR.jpg,0
8,7,2,2019_53010582_TO.jpg,10,3,1,2023_57010282_94.jpg,0
1,4,4,2023_57014038_OR.jpg,10,4,7,2023_57028274_99.jpg,0
8,4,3,2019_53095770_52.jpg,1,3,1,2019_53025768_02.jpg,1
1,4,3,2019_57055921_02.jpg,10,4,7,2019_53083780_99.jpg,1
9,4,3,2019_53090511_CU.jpg,8,7,2,2023_47078649_TM.jpg,0
10,4,3,2023_57024421_99.jpg,1,4,4,2023_57004052_OR.jpg,1
10,5,2,2019_53063712_91.jpg,10,5,1,2019_53053712_91.jpg,1
10,4,7,2023_57040076_99.jpg,10,4,3,2023_57052508_99.jpg,1
10,3,2,2019_57069208_99.jpg,10,4,8,2020_67050100_99.jpg,1
1,4,4,2019_53030691_OR.jpg,10,4,3,2023_57010037_99.jpg,0
10,4,4,2023_57050294_PL.jpg,1,1,6,2019_51040837_02.jpg,0
1,4,4,2019_53071096_OR.jpg,1,4,4,2019_53021097_OR.jpg,0
10,4,7,2019_53060568_99.jpg,10,3,6,2019_57018256_99.jpg,1
10,4,4,2023_57050294_PL.jpg,10,1,5,2023_57040365_99.jpg,1
10,4,3,2023_57074417_99.jpg,10,3,1,2023_57066031_92.jpg,1
1,4,7,2019_53050632_08.jpg,7,1,6,2019_53000926_41.jpg,1
1,4,3,2019_53050630_09.jpg,5,3,1,2023_57010643_88.jpg,0
1,4,4,2023_57022525_OR.jpg,8,5,1,2023_57005823_56.jpg,0
10,4,4,2023_57027749_PL.jpg,1,4,4,2019_53050829_OR.jpg,0
1,5,2,2019_53063712_07.jpg,2,3,1,2019_53011056_12.jpg,0
10,7,2,2019_57064001_TN.jpg,1,4,4,2019_57005937_OR.jpg,1
10,1,2,2019_57074753_92.jpg,1,4,3,2023_57015978_08.jpg,0
1,4,3,2023_57062508_08.jpg,9,5,1,2023_57005809_35.jpg,1
1,7,6,2023_57000287_01.jpg,10,1,2,2023_57030409_99.jpg,0
1,5,1,2019_53005769_05.jpg,10,1,2,2023_57026027_94.jpg,0
10,4,7,2023_57044035_99.jpg,8,7,2,2023_57012898_TM.jpg,0
10,4,3,2023_57010037_99.jpg,9,7,2,2019_53070671_30.jpg,0
10,4,3,2019_53060879_99.jpg,1,4,4,2023_47055942_OR.jpg,0
1,3,1,2019_57064383_08.jpg,10,4,3,2023_57050111_PL.jpg,0
1,4,4,2019_53091158_OR.jpg,1,4,4,2023_57084028_OR.jpg,0
1,5,6,2023_57083796_05.jpg,1,4,3,2019_53040578_01.jpg,0
1,4,4,2023_57040274_OR.jpg,4,1,6,2023_57037729_76.jpg,0
1,4,4,2019_43005802_OR.jpg,1,4,4,2019_43073737_OR.jpg,1
10,4,4,2023_57052525_PL.jpg,10,4,3,2024_67050277_99.jpg,1
1,4,4,2023_57050271_OR.jpg,9,4,3,2022_37000577_30.jpg,1
10,5,1,2023_57005813_94.jpg,1,1,1,2023_57040251_02.jpg,1
10,6,2,2023_57099080_99.jpg,10,1,1,2019_57039050_99.jpg,0
9,4,3,2019_53090511_CU.jpg,1,4,4,2019_53033776_OR.jpg,1
10,4,3,2019_57075781_99.jpg,10,4,7,2023_57040042_PL.jpg,0
1,4,4,2019_53193794_OR.jpg,9,1,2,2019_51070891_37.jpg,1
8,1,2,2023_57040382_52.jpg,5,4,4,2023_47025867_81.jpg,0
1,4,4,2019_43047758_05.jpg,5,7,6,2023_57012896_84.jpg,0
1,4,4,2019_53050829_OR.jpg,9,4,3,2019_53090511_CU.jpg,1
2,4,3,2023_57040031_12.jpg,9,4,8,2019_53023783_35.jpg,0
10,7,5,2019_53070602_TN.jpg,10,7,2,2019_53060602_TN.jpg,1
10,4,4,2020_67020050_PL.jpg,3,4,7,2023_57040037_20.jpg,0
1,4,4,2019_53103803_OR.jpg,10,4,7,2023_57031178_99.jpg,0
1,5,6,2023_57020266_05.jpg,2,4,3,2019_57085938_10.jpg,0
1,5,1,2019_53015744_09.jpg,10,5,1,2019_53005768_99.jpg,0
10,4,3,2019_53093047_99.jpg,10,4,3,2020_67000502_99.jpg,1
10,4,7,2023_57014778_99.jpg,10,4,4,2023_57006014_PL.jpg,1
10,4,7,2019_53003751_99.jpg,10,4,7,2023_57040042_PL.jpg,0
9,4,3,2023_57010014_37.jpg,9,5,1,2023_47017134_30.jpg,1
10,4,3,2019_53093739_99.jpg,1,4,4,2019_57005933_OR.jpg,1
10,4,4,2023_57047742_PL.jpg,10,3,6,2023_57019111_99.jpg,1
10,3,2,2023_57082887_99.jpg,10,3,1,2023_47087877_94.jpg,1
9,4,7,2023_57025806_30.jpg,10,4,4,2023_57086003_PL.jpg,1
10,4,3,2019_57025939_99.jpg,1,4,4,2019_53021097_OR.jpg,1
1,1,5,2019_41069066_05.jpg,10,4,7,2023_57042511_99.jpg,0
10,1,2,2019_51085028_99.jpg,1,1,1,2019_53015738_02.jpg,1
10,4,4,2019_53020807_PL.jpg,10,4,3,2023_47005949_99.jpg,0
10,4,3,2023_57022510_99.jpg,10,4,7,2023_47077845_99.jpg,1
8,1,5,2023_57042883_69.jpg,8,1,2,2023_57072885_69.jpg,1
10,4,7,2023_57086313_95.jpg,1,4,4,2019_57047881_OR.jpg,0
1,3,1,2019_53080778_01.jpg,1,5,1,2019_57075926_05.jpg,1
1,4,7,2019_53060511_08.jpg,1,4,4,2019_53033776_OR.jpg,0
1,5,1,2019_53083037_05.jpg,7,1,2,2023_57030409_45.jpg,0
10,4,4,2023_57004053_PL.jpg,1,1,5,2023_57045136_09.jpg,0
10,4,3,2023_57010040_99.jpg,10,4,8,2023_57034022_99.jpg,1
10,4,8,2019_53013756_99.jpg,10,7,2,2019_57035784_TN.jpg,1
3,1,2,2019_41085028_20.jpg,10,4,4,2023_57094033_PL.jpg,0
1,4,4,2019_53090751_OR.jpg,1,1,5,2019_51080613_01.jpg,1
1,4,3,2019_53050630_09.jpg,1,4,4,2019_53050681_OR.jpg,1
10,4,3,2019_53043747_99.jpg,10,4,4,2019_57037882_90.jpg,0
1,3,1,2023_57064030_01.jpg,10,4,3,2023_57074417_99.jpg,1
10,4,4,2023_57026006_PL.jpg,10,4,3,2024_67000260_99.jpg,1
1,4,4,2019_53080809_OR.jpg,10,4,4,2019_43097754_99.jpg,0
10,1,5,2019_51043731_99.jpg,1,4,3,2019_53023770_04.jpg,1
9,7,6,2019_53055030_37.jpg,10,4,7,2019_57015938_99.jpg,1
1,4,7,2019_43035019_08.jpg,1,4,4,2019_53050829_OR.jpg,1
9,4,3,2023_57026009_30.jpg,1,4,7,2023_57064034_09.jpg,1
10,4,3,2023_57010037_99.jpg,10,4,3,2023_57010041_99.jpg,0
10,1,5,2019_53073709_99.jpg,8,7,2,2019_53000586_TC.jpg,1
1,3,1,2023_57028276_08.jpg,5,1,2,2023_57010270_83.jpg,0
2,4,3,2019_57085938_10.jpg,1,4,3,2023_57093253_01.jpg,0
